#{"t_start": 1786633123.5641448, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-505.581558,286,918.378872,False,False,True,False,False,0
-540.962437,241,921.136329,False,False,True,False,False,0
-1031.848966,436,926.214086,False,False,True,False,False,0
-347.90212,173,928.183514,False,False,True,False,False,0
-373.296755,158,930.036108,False,False,True,False,False,0
-594.269602,248,932.889638,False,False,True,False,False,0
-678.93709,273,935.954859,False,False,True,False,False,0
-436.745028,219,938.376274,False,False,True,False,False,0
-696.73866,327,942.0888,False,False,True,False,False,0
-862.123841,293,945.452709,False,False,True,False,False,0
-1431.61368,500,951.168286,False,False,True,False,False,0
-457.387479,247,954.033827,False,False,True,False,False,0
-667.971466,425,958.933074,False,False,True,True,False,0
-978.102731,561,965.359634,False,False,True,False,False,0
-793.732626,355,969.436807,False,False,True,False,False,0
-638.866295,263,972.304125,False,False,True,False,False,0
-625.974751,290,975.734076,False,False,True,False,False,0
-618.648727,238,978.503496,False,False,True,False,False,0
-575.267061,257,981.509184,False,False,True,False,False,0
-385.163061,204,983.831575,False,False,True,False,False,0
-487.498766,249,986.648103,False,False,True,False,False,0
-1047.772754,325,990.339455,False,False,True,False,False,0
-806.278989,626,997.414883,False,False,True,True,False,0
-1223.002794,406,1002.029732,False,False,True,False,False,0
-506.45927,329,1005.795043,False,False,True,False,False,0
-723.687851,461,1011.00349,False,False,True,False,False,0
-501.338339,314,1014.609955,False,False,True,False,False,0
-855.8796,406,1019.279583,False,False,True,False,False,0
-293.311878,207,1021.623883,False,False,True,False,False,0
-623.928615,349,1025.46839,False,False,True,False,False,0
-605.974242,474,1030.832031,False,False,True,True,False,0
-275.356966,434,1035.735242,False,False,True,True,False,0
-607.073841,282,1038.883386,False,False,True,False,False,0
-713.874035,368,1043.160175,False,False,True,False,False,0
-547.217884,299,1046.580067,False,False,True,True,False,0
-771.376006,388,1050.968624,False,False,True,False,False,0
-747.61441,426,1055.631234,False,False,True,False,False,0
-180.807015,360,1059.923504,False,False,True,False,False,0
-528.544476,325,1063.674713,False,False,True,False,False,0
-1403.003665,687,1071.591036,False,False,True,False,False,0
-838.828442,447,1076.842761,False,False,True,False,False,0
-3757.613322,1170,1090.813054,False,False,True,False,False,0
-422.700726,307,1094.404523,False,False,True,True,False,0
-690.30102,328,1098.170554,False,False,True,False,False,0
-1990.454846,505,1104.018944,False,False,True,False,False,0
-1668.923059,736,1112.31533,False,False,True,True,False,0
-1295.393665,490,1117.906703,False,False,True,False,False,0
-1524.048668,395,1122.456342,False,False,True,False,False,0
-400.08747,265,1125.495939,False,False,True,False,False,0
-796.012538,474,1130.870202,False,False,True,True,False,0
-635.490928,326,1134.607539,False,False,True,False,False,0
-332.658009,297,1138.042048,False,False,True,False,False,0
-607.147086,277,1141.236551,False,False,True,False,False,0
-1806.118249,422,1146.159357,False,False,True,False,False,0
-755.288012,380,1150.269517,False,False,True,False,False,0
-1088.904041,552,1156.749426,False,False,True,True,False,0
-1105.026539,718,1197.834536,False,False,True,True,False,0
-666.679296,374,1202.218378,False,False,True,False,False,0
-1612.519261,606,1209.143909,False,False,True,False,False,0
-765.204847,356,1213.091867,False,False,True,True,False,0
-1255.64964,392,1217.606734,False,False,True,False,False,0
-697.611101,253,1220.555058,False,False,True,False,False,0
-519.25259,245,1223.26565,False,False,True,False,False,0
-1818.687737,471,1228.684862,False,False,True,True,False,0
-1238.145026,524,1234.620087,False,False,True,False,False,0
-1103.987431,334,1238.411044,False,False,True,False,False,0
-1151.191694,442,1243.466438,False,False,True,False,False,0
-1151.509241,438,1248.314686,False,False,True,False,False,0
-822.366027,298,1251.689284,False,False,True,False,False,0
-430.188493,254,1254.590622,False,False,True,False,False,0
-781.879758,317,1258.050574,False,False,True,False,False,0
-498.49389,215,1260.526257,False,False,True,False,False,0
-918.904099,299,1263.893955,False,False,True,False,False,0
-830.470944,338,1267.838413,False,False,True,False,False,0
-856.400678,351,1271.922764,False,False,True,True,False,0
-497.487728,492,1277.598675,False,False,True,True,False,0
-445.346316,221,1280.155473,False,False,True,False,False,0
-799.779584,303,1283.624949,False,False,True,False,False,0
-162.425641,389,1287.985183,False,False,True,False,False,0
-412.204956,193,1290.069663,False,False,True,False,False,0
-456.44274,177,1292.181911,False,False,True,False,False,0
-721.512999,272,1295.367004,False,False,True,False,False,0
-347.21529,203,1297.71174,False,False,True,False,False,0
-753.468932,255,1300.580249,False,False,True,False,False,0
-866.807906,386,1305.020948,False,False,True,True,False,0
-447.331898,252,1307.928618,False,False,True,False,False,0
-1229.483766,381,1312.283945,False,False,True,False,False,0
-1874.651045,1015,1324.124597,False,False,True,False,False,0
-456.905942,187,1326.282296,False,False,True,False,False,0
-723.537711,257,1329.225499,False,False,True,False,False,0
-1162.321549,393,1333.831395,False,False,True,False,False,0
-1431.100252,359,1337.97928,False,False,True,False,False,0
-617.001887,277,1341.14959,False,False,True,False,False,0
-1315.383043,600,1348.056274,False,False,True,False,False,0
-872.27958,271,1351.20396,False,False,True,False,False,0
-438.713305,331,1354.986141,False,False,True,False,False,0
-715.878501,467,1360.290667,False,False,True,False,False,0
-398.297492,298,1363.785052,False,False,True,False,False,0
-1328.053208,426,1368.771386,False,False,True,True,False,0
-1988.249875,789,1377.716043,False,False,True,False,False,0
-930.483073,473,1383.137241,False,False,True,True,False,0
-374.757493,189,1385.304819,False,False,True,False,False,0
-573.430486,592,1391.993996,False,False,True,False,False,0
-304.736687,150,1393.755627,False,False,True,False,False,0
-369.480185,214,1396.240061,False,False,True,False,False,0
-1152.395361,283,1399.551799,False,False,True,False,False,0
-737.980575,249,1402.43573,False,False,True,True,False,0
-620.186724,253,1405.367641,False,False,True,False,False,0
-360.058497,193,1407.537873,False,False,True,False,False,0
-888.38073,375,1411.795736,False,False,True,False,False,0
-516.843202,203,1414.061026,False,False,True,False,False,0
-743.397256,415,1418.764311,False,False,True,False,False,0
-823.012967,269,1421.903218,False,False,True,False,False,0
-678.900036,275,1425.10981,False,False,True,False,False,0
-2202.244755,983,1436.271071,False,False,True,True,False,0
-757.828,296,1439.639359,False,False,True,True,False,0
-548.771142,194,1441.839054,False,False,True,False,False,0
-730.334807,436,1446.857367,False,False,True,False,False,0
-388.376554,183,1448.963544,False,False,True,False,False,0
-2083.953109,522,1454.747667,False,False,True,False,False,0
-581.882224,192,1456.992152,False,False,True,False,False,0
-721.531364,677,1464.700246,False,False,True,False,False,0
-1992.958633,556,1471.159393,False,False,True,True,False,0
-2508.776012,777,1480.209454,False,False,True,False,False,0
-482.332328,214,1482.682542,False,False,True,False,False,0
-554.378341,320,1489.10346,False,False,True,False,False,0
-560.797727,255,1491.939487,False,False,True,False,False,0
-1196.213443,572,1498.454646,False,False,True,False,False,0
-1502.681929,458,1503.560181,False,False,True,True,False,0
-737.638668,248,1506.3179,False,False,True,False,False,0
-327.147296,152,1508.028028,False,False,True,False,False,0
-769.14153,407,1512.514937,False,False,True,False,False,0
-827.043826,651,1520.174496,False,False,True,False,False,0
-84.2501,444,1525.09532,False,False,True,False,False,0
-1385.490075,1031,1536.994272,False,False,True,True,False,0
-770.086396,278,1540.289695,False,False,True,False,False,0
-913.944445,387,1544.63484,False,False,True,False,False,0
-204.866372,342,1548.562289,False,False,True,False,False,0
-1372.041238,518,1554.538554,False,False,True,True,False,0
-2183.069464,654,1561.843781,False,False,True,True,False,0
-1038.442482,467,1567.222062,False,False,True,False,False,0
-488.565689,537,1573.379577,False,False,True,False,False,0
-504.751937,881,1583.655418,False,False,True,False,False,0
-946.421612,1130,1596.59813,False,False,True,True,False,0
-603.011073,428,1601.3561,False,False,True,False,False,0
-1153.151527,1036,1613.429297,False,False,True,True,False,0
-151.923055,497,1618.979908,False,False,True,True,False,0
-553.590303,440,1624.030363,False,False,True,True,False,0
-439.451026,733,1632.479866,False,False,True,True,False,0
-793.519032,418,1637.115578,False,False,True,False,False,0
-895.06909,521,1643.213704,False,False,True,False,False,0
-465.419356,188,1645.398633,False,False,True,False,False,0
-951.419243,430,1650.289708,False,False,True,False,False,0
-313.617578,493,1655.973195,False,False,True,False,False,0
-912.811131,526,1661.807579,False,False,True,True,False,0
-613.65301,402,1666.342676,False,False,True,False,False,0
-1427.160433,1519,1684.49206,False,False,True,False,False,0
-949.408592,677,1692.449738,False,False,True,False,False,0
-597.197489,669,1700.250392,False,False,True,False,False,0
-770.829481,503,1706.054445,False,False,True,True,False,0
-759.668775,491,1711.736431,False,False,True,True,False,0
-1206.986206,1014,1723.605136,False,False,True,True,False,0
-1040.802206,615,1730.635002,False,False,True,False,False,0
-621.967412,375,1734.935412,False,False,True,True,False,0
-2157.583572,1235,1750.070435,False,False,True,False,False,0
-494.366661,542,1756.274648,False,False,True,True,False,0
-2462.57947,942,1766.970171,False,False,True,True,False,0
-451.580413,377,1771.360789,False,False,True,False,False,0
-1254.150589,583,1815.070478,False,False,True,False,False,0
-1314.820447,626,1822.351885,False,False,True,False,False,0
-1359.685172,757,1831.186988,False,False,True,False,False,0
-1842.378534,908,1841.898188,False,False,True,True,False,0
-835.463937,291,1845.226985,False,False,True,False,False,0
-483.299149,214,1847.49361,False,False,True,False,False,0
-2824.76562,1025,1859.824484,False,False,True,False,False,0
-452.171074,256,1862.73596,False,False,True,False,False,0
-1809.291348,448,1867.772424,False,False,True,False,False,0
-380.589291,399,1872.307483,False,False,True,True,False,0
-451.257132,196,1874.560386,False,False,True,False,False,0
-996.622408,362,1878.728598,False,False,True,False,False,0
-605.577964,693,1886.657185,False,False,True,False,False,0
-811.822238,345,1890.3833,False,False,True,False,False,0
-1845.007629,990,1902.678816,False,False,True,False,False,0
-555.188329,216,1905.174818,False,False,True,False,False,0
-469.461578,378,1909.511392,False,False,True,True,False,0
-408.205591,257,1912.457717,False,False,True,False,False,0
-1034.179826,927,1923.445556,False,False,True,True,False,0
-480.116588,358,1927.444759,False,False,True,False,False,0
-1363.804743,565,1933.934205,False,False,True,False,False,0
-773.94564,254,1936.834323,False,False,True,False,False,0
-386.908899,464,1942.005949,False,False,True,False,False,0
-2075.231942,1244,1957.168179,False,False,True,True,False,0
-1293.23265,419,1962.237003,False,False,True,True,False,0
-2494.854212,735,1970.850572,False,False,True,False,False,0
-741.982769,352,1974.813152,False,False,True,False,False,0
-358.798376,440,1979.732386,False,False,True,False,False,0
-392.854912,261,1982.537021,False,False,True,False,False,0
-174.858329,269,1985.680191,False,False,True,False,False,0
-1181.816934,598,1992.336118,False,False,True,True,False,0
-1400.520035,394,1996.832914,False,False,True,False,False,0
-560.875157,281,2000.074887,False,False,True,False,False,0
-284.660265,731,2008.415159,False,False,True,True,False,0
-1580.074089,720,2016.670429,False,False,True,False,False,0
-487.763545,425,2021.617221,False,False,True,True,False,0
