#{"t_start": 1786422801.8976715, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,curriculum_rotation_progress,curriculum_translation_progress,episode_shell_outer_m,episode_target_tumble_scale
-10.144969,1850,2956.121899,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.967766,1038,2979.407202,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-15.212122,2000,3024.819405,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.334713,1451,3057.999496,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-55.631645,1732,3096.764072,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.033167,1211,3124.057473,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.86251,514,3135.561829,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.959197,339,3143.551739,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.831651,1125,3168.690732,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.895227,379,3177.304329,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-16.09113,2000,3223.70678,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-8.528738,1616,3260.826519,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.324028,862,3280.48477,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-12.72301,1552,3316.426735,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.437514,910,3337.333885,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.625152,302,3344.326608,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.413694,574,3357.627613,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-22.841441,2000,3404.942451,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.75973,1078,3431.295933,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.612984,840,3451.408401,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-12.242209,2000,3498.649252,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
