#{"t_start": 1786602476.118577, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-20.677067,48,1263.148944,False,False,True,False,False,0
-32.53063,122,1266.866532,False,False,True,False,False,0
-29.620789,147,1271.828677,False,False,True,False,False,0
-24.582885,86,1274.754929,False,False,True,False,False,0
-24.225632,67,1277.216877,False,False,True,False,False,0
-22.995893,96,1280.147866,False,False,True,False,False,0
-22.447206,55,1281.96122,False,False,True,False,False,0
-40.501826,62,1283.858058,False,False,True,False,False,0
-33.8825,265,1293.031818,False,False,True,False,False,0
-32.975921,176,1298.555282,False,False,True,False,False,0
-44.821484,213,1305.810549,False,False,True,False,False,0
-29.912438,136,1310.598534,False,False,True,False,False,0
-17.833242,106,1314.176797,False,False,True,False,False,0
-86.202553,222,1321.47288,False,False,True,False,False,0
-29.274312,75,1323.829568,False,False,True,False,False,0
-26.452187,69,1325.878263,False,False,True,False,False,0
-17.622897,90,1328.83971,False,False,True,False,False,0
-40.656134,96,1331.770572,False,False,True,False,False,0
-41.654899,92,1334.699279,False,False,True,False,False,0
-161.521072,195,1341.626725,False,False,True,False,False,0
-29.705988,98,1344.696732,False,False,True,False,False,0
-40.98797,79,1347.279364,False,False,True,False,False,0
-20.132231,50,1348.976859,False,False,True,False,False,0
-43.961699,90,1352.300038,False,False,True,False,False,0
-22.30441,48,1353.897773,False,False,True,False,False,0
-29.397587,85,1356.702039,False,False,True,False,False,0
-53.920366,140,1361.248146,False,False,True,False,False,0
-55.999443,131,1365.905128,False,False,True,False,False,0
-34.323461,70,1368.075161,False,False,True,False,False,0
-66.190502,274,1376.943372,False,False,True,False,False,0
-31.224241,65,1378.969343,False,False,True,False,False,0
-22.398227,48,1380.46004,False,False,True,False,False,0
-63.118239,106,1384.093683,False,False,True,False,False,0
-22.765977,78,1386.612374,False,False,True,False,False,0
-31.19939,74,1389.330856,False,False,True,False,False,0
-22.383943,145,1393.950396,False,False,True,False,False,0
-50.181863,115,1397.484671,False,False,True,False,False,0
-43.524317,49,1399.120585,False,False,True,False,False,0
-60.254989,87,1402.209516,False,False,True,False,False,0
-25.751164,85,1405.159427,False,False,True,False,False,0
-26.064753,59,1407.191032,False,False,True,False,False,0
-21.178283,48,1408.859303,False,False,True,False,False,0
-34.816856,52,1410.574151,False,False,True,False,False,0
-27.822852,67,1412.623873,False,False,True,False,False,0
-66.802731,109,1416.41757,False,False,True,False,False,0
-27.930946,62,1418.371458,False,False,True,False,False,0
-53.250842,88,1420.977447,False,False,True,False,False,0
-38.266199,69,1423.144235,False,False,True,False,False,0
-40.247048,131,1427.894109,False,False,True,False,False,0
-37.002263,89,1431.054824,False,False,True,False,False,0
-158.228087,166,1436.683401,False,False,True,False,False,0
-137.916753,121,1440.529762,False,False,True,False,False,0
-71.07413,101,1443.964857,False,False,True,False,False,0
-30.0579,105,1447.341325,False,False,True,False,False,0
-54.552061,153,1452.411592,False,False,True,False,False,0
-17.558809,82,1455.100382,False,False,True,False,False,0
-70.564128,329,1465.873509,False,False,True,False,False,0
-25.384285,56,1467.676709,False,False,True,False,False,0
-190.267225,137,1472.317766,False,False,True,False,False,0
-31.909189,81,1475.097502,False,False,True,False,False,0
-147.103758,325,1485.907308,False,False,True,False,False,0
-38.698867,131,1490.054025,False,False,True,False,False,0
-35.020925,47,1491.725559,False,False,True,False,False,0
-40.864613,104,1494.893265,False,False,True,False,False,0
-22.762112,89,1497.71586,False,False,True,False,False,0
-94.563526,161,1503.213587,False,False,True,False,False,0
-30.458279,160,1508.507563,False,False,True,False,False,0
-18.411259,59,1510.669707,False,False,True,False,False,0
-112.522123,260,1519.052814,False,False,True,False,False,0
-23.910291,153,1524.473227,False,False,True,False,False,0
-79.333195,95,1527.585151,False,False,True,False,False,0
-24.246181,119,1531.745524,False,False,True,False,False,0
-28.195899,75,1534.178667,False,False,True,False,False,0
-18.894572,108,1537.496304,False,False,True,False,False,0
-24.931855,147,1542.241967,False,False,True,False,False,0
-25.692663,82,1545.017762,False,False,True,False,False,0
-45.814204,61,1547.200575,False,False,True,False,False,0
-93.759828,170,1552.927573,False,False,True,False,False,0
-45.744226,57,1554.524416,False,False,True,False,False,0
-28.289592,154,1559.325782,False,False,True,False,False,0
-23.307695,70,1561.727222,False,False,True,False,False,0
-17.184791,55,1563.525688,False,False,True,False,False,0
-28.07775,65,1565.574282,False,False,True,False,False,0
-38.539824,83,1568.301464,False,False,True,False,False,0
-27.047974,165,1573.815839,False,False,True,False,False,0
-102.400082,143,1578.518287,False,False,True,False,False,0
-33.396506,131,1582.766844,False,False,True,False,False,0
-31.350232,115,1586.876774,False,False,True,False,False,0
-22.213691,104,1590.237453,False,False,True,False,False,0
-42.707798,154,1605.370049,False,False,True,False,False,0
-49.552062,81,1608.18769,False,False,True,False,False,0
-73.091977,197,1614.08728,False,False,True,False,False,0
-20.33809,65,1616.414891,False,False,True,False,False,0
-107.026965,156,1621.340068,False,False,True,False,False,0
-146.222494,386,1634.179311,False,False,True,False,False,0
-60.019388,171,1639.770257,False,False,True,False,False,0
-19.684058,67,1641.820047,False,False,True,False,False,0
-47.213848,58,1643.712306,False,False,True,False,False,0
-24.74668,67,1645.928703,False,False,True,False,False,0
-37.181119,169,1651.676675,False,False,True,False,False,0
-23.20895,76,1654.227706,False,False,True,False,False,0
-17.625259,92,1657.326558,False,False,True,False,False,0
-72.997601,272,1666.506394,False,False,True,False,False,0
-24.985323,90,1669.320062,False,False,True,False,False,0
-30.232082,76,1671.901912,False,False,True,False,False,0
-38.848114,96,1674.981544,False,False,True,False,False,0
-45.022378,122,1678.742846,False,False,True,False,False,0
-30.094473,67,1680.881013,False,False,True,False,False,0
-37.369169,66,1682.814734,False,False,True,False,False,0
-25.551048,41,1684.066154,False,False,True,False,False,0
-222.418454,385,1697.310774,False,False,True,False,False,0
-131.247931,217,1704.519545,False,False,True,False,False,0
-29.94868,64,1706.67041,False,False,True,False,False,0
-47.568703,211,1713.494601,False,False,True,False,False,0
-43.658004,88,1716.516248,False,False,True,False,False,0
-23.666051,49,1718.138657,False,False,True,False,False,0
-35.73019,170,1723.693038,False,False,True,False,False,0
-24.537602,71,1726.032763,False,False,True,False,False,0
-106.614748,139,1730.578171,False,False,True,False,False,0
-27.21351,168,1736.353338,False,False,True,False,False,0
-287.721013,224,1743.826494,False,False,True,False,False,0
-27.228707,48,1745.485773,False,False,True,False,False,0
-23.117156,63,1747.553584,False,False,True,False,False,0
-18.270402,90,1750.432635,False,False,True,False,False,0
-66.777742,80,1752.983915,False,False,True,False,False,0
-25.905265,74,1755.339497,False,False,True,False,False,0
-24.321264,52,1757.047986,False,False,True,False,False,0
-24.714771,76,1759.351332,False,False,True,False,False,0
-27.992878,76,1761.931047,False,False,True,False,False,0
-24.42662,77,1764.445788,False,False,True,False,False,0
-18.193251,53,1766.243402,False,False,True,False,False,0
-54.297557,78,1769.10902,False,False,True,False,False,0
-27.417615,83,1771.782773,False,False,True,False,False,0
-53.256498,74,1774.376722,False,False,True,False,False,0
-38.371166,56,1776.179179,False,False,True,False,False,0
-31.469345,152,1780.847153,False,False,True,False,False,0
-22.512531,82,1783.548455,False,False,True,False,False,0
-26.09296,83,1786.569993,False,False,True,False,False,0
-64.41445,82,1789.413462,False,False,True,False,False,0
-246.67886,180,1795.268137,False,False,True,False,False,0
-155.731279,108,1799.20949,False,False,True,False,False,0
-30.822181,125,1803.469496,False,False,True,False,False,0
