#{"t_start": 1786514344.3059127, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-47.957125,1236,3274.426148,False,False,True,False,False,609,877,929,550,warmup
-44.054625,972,3296.139313,False,False,True,False,False,475,852,715,417,warmup
-33.429498,736,3312.748237,False,False,True,False,False,247,555,468,180,warmup
-42.482726,951,3334.215562,False,False,True,False,False,485,766,621,390,warmup
-57.622358,1255,3362.704724,False,False,True,False,False,828,1066,1052,353,warmup
-31.904267,803,3380.806263,False,False,True,False,False,134,601,459,85,warmup
-46.059881,925,3402.350878,False,False,True,False,False,617,671,423,433,warmup
-32.193896,782,3420.444841,False,False,True,False,False,256,592,435,184,warmup
-43.930456,1024,3443.451967,False,False,True,False,False,549,703,558,460,warmup
-34.302614,820,3462.310404,False,False,True,False,False,292,386,596,239,warmup
