#{"t_start": 1786364711.465195, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,episode_shell_outer_m,episode_target_tumble_scale
-21.58686,1981,3026.183099,True,False,False,True,True,True,0.14685857142857142,4.02801,0.25
-7.583526,1563,3047.506148,True,False,False,True,True,True,0.14968857142857142,4.04782,0.25
-6.955405,1836,3073.641201,True,False,False,True,True,True,0.15192142857142857,4.0634500000000005,0.25
-6.6853,2000,3104.723066,False,False,True,False,True,False,0.15454428571428572,4.08181,0.25
-6.256538,2000,3136.182564,False,False,True,False,True,False,0.15740142857142858,4.10181,0.25
-6.141501,2000,3166.864596,False,False,True,False,True,False,0.16025857142857142,4.12181,0.25
-2.088054,991,3181.251571,True,False,False,True,True,True,0.16311571428571428,4.14181,0.25
-2.254873,1043,3196.774322,True,False,False,True,True,True,0.16453142857142858,4.15172,0.25
-7.046495,2000,3226.206017,False,False,True,False,True,False,0.16602142857142857,4.1621500000000005,0.25
-19.087713,2000,3255.02706,False,False,True,False,False,False,0.16887857142857143,4.18215,0.25
-2.828379,1160,3272.592533,True,False,False,True,True,True,0.1717357142857143,4.20215,0.25
-9.786301,1300,3291.531726,True,False,False,True,True,True,0.17339285714285715,4.21375,0.25
-8.825576,1213,3309.26311,True,False,False,True,True,True,0.17525,4.22675,0.25
-48.713073,2000,3338.907571,False,False,True,False,False,False,0.17698285714285714,4.23888,0.25
-44.057982,2000,3368.228149,False,False,True,False,False,False,0.17984,4.2588799999999996,0.25
-19.517348,2000,3397.742961,False,False,True,False,True,False,0.18269714285714286,4.27888,0.25
-12.690067,1970,3427.084462,True,False,False,True,True,True,0.18555428571428573,4.2988800000000005,0.25
-4.901742,1284,3447.199135,True,False,False,True,True,True,0.18836857142857144,4.318580000000001,0.25
-47.863211,2000,3476.740127,False,False,True,False,False,False,0.19020285714285715,4.3314200000000005,0.25
-12.835287,1871,3504.48772,True,False,False,True,True,True,0.19306,4.35142,0.25
-8.640888,1072,3520.562783,True,False,False,True,True,True,0.19573285714285715,4.37013,0.25
-39.085242,2000,3550.090226,False,False,True,False,False,False,0.19726428571428573,4.380850000000001,0.25
-71.031506,1934,3578.514027,False,True,False,False,False,False,0.20012142857142856,4.40085,0.25
-16.964728,2000,3609.008827,False,False,True,False,True,False,0.2028842857142857,4.42019,0.25
-4.29507,1014,3624.105675,True,False,False,True,True,True,0.20574142857142858,4.44019,0.25
-6.139842,993,3638.515836,True,False,False,True,True,True,0.20719,4.45033,0.25
-26.12738,2000,3667.545148,False,False,True,False,False,False,0.20860857142857142,4.46026,0.25
-0.731577,411,3673.530636,True,False,False,True,True,True,0.21146571428571428,4.4802599999999995,0.25
-4.704796,1132,3690.13986,True,False,False,True,True,True,0.21205285714285715,4.48437,0.25
-8.33764,1434,3712.398695,True,False,False,True,True,True,0.21367,4.49569,0.25
-6.010497,1288,3732.441843,True,False,False,True,True,True,0.21571857142857143,4.51003,0.25
-14.915445,2000,3763.455151,False,False,True,False,True,False,0.21755857142857143,4.5229099999999995,0.25
-9.1204,1982,3793.980005,True,False,False,True,True,True,0.2204157142857143,4.54291,0.25
-5.072027,1251,3813.124667,True,False,False,True,True,True,0.22324714285714287,4.56273,0.25
-10.158958,2000,3844.430343,False,False,True,False,True,False,0.22503428571428571,4.57524,0.25
-15.486036,2000,3876.792708,False,False,True,False,True,False,0.22789142857142858,4.59524,0.25
-0.075613,679,3888.117877,True,False,False,True,True,True,0.23074857142857144,4.61524,0.25
-12.640005,1984,3919.064739,True,False,False,True,True,True,0.23171857142857144,4.6220300000000005,0.25
-6.072336,1567,3944.472796,True,False,False,True,True,True,0.23455285714285715,4.64187,0.25
-8.94861,1170,3962.862984,True,False,False,True,True,True,0.23679142857142857,4.65754,0.25
-10.662153,1939,3994.228336,True,False,False,True,True,True,0.23846285714285714,4.66924,0.25
-20.528323,2000,4024.78629,False,False,True,False,True,False,0.24123285714285714,4.68863,0.25
-0.752105,581,4033.368527,True,False,False,True,True,True,0.24409,4.708629999999999,0.25
-29.005321,2000,4062.867522,False,False,True,False,False,False,0.24492,4.71444,0.25
-20.293884,2000,4092.308198,False,False,True,False,False,False,0.24777714285714286,4.73444,0.25
-10.112095,1812,4119.020087,True,False,False,True,True,True,0.2506342857142857,4.754440000000001,0.25
-5.242092,976,4133.423397,True,False,False,True,True,True,0.25322285714285714,4.77256,0.25
-67.135576,1953,4162.086716,False,True,False,False,False,False,0.2546171428571429,4.78232,0.25
-51.725579,1112,4178.333926,False,True,False,False,False,False,0.25740714285714283,4.80185,0.25
-58.155715,2000,4207.976921,False,False,True,False,False,False,0.2589957142857143,4.81297,0.25
-12.144588,2000,4237.227805,False,False,True,False,True,False,0.26185285714285716,4.83297,0.25
-42.034974,2000,4266.369064,False,False,True,False,False,False,0.26471,4.85297,0.25
-62.295773,1593,4289.876553,False,True,False,False,False,False,0.26756714285714284,4.87297,0.25
-22.086747,2000,4319.307022,False,False,True,False,False,False,0.26984285714285716,4.8889000000000005,0.25
-11.935723,2000,4349.91905,False,False,True,False,True,False,0.2727,4.9089,0.25
-43.685188,891,4362.98296,False,True,False,False,False,False,0.27555714285714283,4.9289000000000005,0.25
-53.205342,2000,4392.494203,False,False,True,False,False,False,0.27683,4.93781,0.25
-50.115324,1007,4407.626318,False,True,False,False,False,False,0.27968714285714286,4.95781,0.25
-9.486402,2000,4437.020182,False,False,True,False,True,False,0.2811257142857143,4.967880000000001,0.25
-9.971124,1247,4455.550695,True,False,False,True,True,True,0.28398285714285715,4.9878800000000005,0.25
-58.763523,1449,4477.337144,False,True,False,False,False,False,0.2857642857142857,5.000349999999999,0.25
-65.263867,1918,4506.061263,False,True,False,False,False,False,0.2878342857142857,5.0148399999999995,0.25
-42.39914,818,4518.310761,False,True,False,False,False,False,0.29057428571428573,5.03402,0.25
-38.028057,621,4527.550312,False,True,False,False,False,False,0.29174285714285714,5.0422,0.25
-56.042458,1843,4554.608963,False,True,False,False,False,False,0.29263,5.0484100000000005,0.25
-9.059176,1509,4576.856836,True,False,False,True,True,True,0.29526285714285716,5.066840000000001,0.25
-8.222036,1004,4591.552423,True,False,False,True,True,True,0.2974185714285714,5.08193,0.25
