#{"t_start": 1786375012.1393752, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,episode_shell_outer_m,episode_target_tumble_scale
-39.29995,2000,5638.286817,False,False,True,False,False,False,0.04399787380252797,0.32377,True,3.307985116617696,0.25
-10.779356,2000,5682.133126,False,False,True,False,True,False,0.15241883035752157,0.32777,False,4.06693181250265,0.30000000000000004
-1.045647,543,5694.185763,True,False,False,True,True,True,0.29694863570072244,0.33177,False,5.078640449905057,0.30000000000000004
-13.77753,2000,5738.815799,False,False,True,False,True,False,0.11968562935992975,0.332856,True,3.837799405519508,0.30000000000000004
-13.562586,1260,5766.545146,True,False,False,True,True,True,0.2921031498481593,0.336856,True,5.044722048937115,0.30000000000000004
-9.956263,1474,5798.925933,True,False,False,True,True,True,0.19473690290452342,0.339376,False,4.363158320331664,0.30000000000000004
-54.207914,1302,5826.977707,False,True,False,False,False,False,0.20746429128142285,0.342324,False,4.45225003896996,0.30000000000000004
-41.046921,2000,5870.395152,False,False,True,False,False,False,0.3363913080389623,0.344928,False,5.354739156272736,0.35000000000000003
-59.572527,1560,5904.89922,False,True,False,False,False,False,0.1160997693116112,0.348928,True,3.812698385181278,0.30000000000000004
-10.457365,1300,5933.763941,True,False,False,True,True,True,0.29236534832196226,0.352048,True,5.0465574382537355,0.30000000000000004
-3.857456,1110,5958.308917,True,False,False,True,True,True,0.10571166112079605,0.354648,True,3.739981627845572,0.30000000000000004
-10.280991,1297,5986.510919,True,False,False,True,True,True,0.3167609612582839,0.356868,False,5.217326728807988,0.35000000000000003
-6.938635,1386,6016.760186,True,False,False,True,True,True,0.2817106693232213,0.359462,False,4.971974685262548,0.30000000000000004
-37.341262,2000,6060.067524,False,False,True,False,False,False,0.19347390422204624,0.362234,False,4.354317329554323,0.30000000000000004
-2.949185,1111,6084.201842,True,False,False,True,True,True,0.29684679340756875,0.366234,True,5.077927553852981,0.30000000000000004
-44.712968,2000,6128.060425,False,False,True,False,False,False,0.17289180616554634,0.368456,False,4.210242643158824,0.30000000000000004
-0.223825,432,6137.284403,True,False,False,True,True,True,0.21120090184011098,0.372456,False,4.478406312880777,0.30000000000000004
-3.382564,1396,6167.518314,True,False,False,True,True,True,0.35323382423932026,0.37332,False,5.472636769675242,0.35000000000000003
-52.10688,1332,6197.264274,False,True,False,False,False,False,0.261898500933791,0.376112,False,4.833289506536537,0.30000000000000004
-4.271725,1059,6220.168271,True,False,False,True,True,True,0.2554652889015057,0.378776,False,4.78825702231054,0.30000000000000004
-17.956149,2000,6263.505138,False,False,True,False,False,False,0.3771176048066805,0.380894,False,5.639823233646764,0.35000000000000003
-4.221494,1078,6287.18493,True,False,False,True,True,True,0.2494394321905597,0.384894,False,4.746076025333918,0.30000000000000004
-8.514794,1703,6324.620151,True,False,False,True,True,True,0.26833898437405646,0.38705,False,4.878372890618396,0.30000000000000004
-43.789289,2000,6369.179883,False,False,True,False,False,False,0.22380790974440948,0.390456,True,4.566655368210867,0.30000000000000004
-0.843137,745,6385.452873,True,False,False,True,True,True,0.27495577430294194,0.394456,True,4.924690420120594,0.30000000000000004
-38.913656,2000,6429.335893,False,False,True,False,False,False,0.25893430031250786,0.395946,True,4.812540102187555,0.30000000000000004
-48.862077,1059,6452.157583,False,True,False,False,False,False,0.247944650736923,0.399946,False,4.735612555158461,0.30000000000000004
-40.480339,830,6470.039154,False,True,False,False,False,False,0.397543783802823,0.402064,False,5.782806486619761,0.35000000000000003
-2.094785,989,6491.74549,True,False,False,True,True,True,0.09405794114099128,0.403724,True,3.658405587986939,0.25
-4.469791,1653,6527.391005,True,False,False,True,True,True,0.2595589654002635,0.405702,False,4.816912757801845,0.30000000000000004
-2.933527,1008,6549.100726,True,False,False,True,True,True,0.3117890596213157,0.409008,False,5.18252341734921,0.35000000000000003
-40.8713,2000,6592.20066,False,False,True,False,False,False,0.35830806649012736,0.411024,False,5.508156465430892,0.35000000000000003
-8.880354,2000,6636.849215,False,False,True,False,True,False,0.23498943926645408,0.415024,False,4.644926074865179,0.30000000000000004
-6.230443,968,6658.206918,True,False,False,True,True,True,0.2687486396710602,0.419024,False,4.881240477697421,0.30000000000000004
-12.774114,1590,6693.439386,True,False,False,True,True,True,0.2539151465251796,0.42096,False,4.777406025676257,0.30000000000000004
-8.705987,1896,6734.493841,True,False,False,True,True,True,0.30841061302606054,0.42414,False,5.158874291182423,0.35000000000000003
-8.490533,1872,6775.630871,True,False,False,True,True,True,0.27983408151899647,0.427932,True,4.958838570632976,0.30000000000000004
-14.916932,2000,6819.374956,False,False,True,False,True,False,0.35770580382218264,0.431676,False,5.503940626755279,0.35000000000000003
-3.836142,1436,6850.584018,True,False,False,True,True,True,0.2486517072246765,0.435676,False,4.740561950572736,0.30000000000000004
-9.951477,2000,6894.034466,False,False,True,False,True,False,0.37919895558327676,0.438548,False,5.654392689082937,0.35000000000000003
-3.404477,1514,6926.829338,True,False,False,True,True,True,0.39831872180699796,0.442548,True,5.788231052648985,0.35000000000000003
-18.078506,2000,6970.230018,False,False,True,False,True,False,0.3652574940240237,0.445576,False,5.556802458168166,0.35000000000000003
-64.690771,1644,7006.115886,False,True,False,False,False,False,0.3294816265736522,0.449576,True,5.306371386015565,0.35000000000000003
-12.827743,2000,7049.650178,False,False,True,False,True,False,0.33794173348015116,0.452864,True,5.365592134361059,0.35000000000000003
-3.534109,961,7070.507261,True,False,False,True,True,True,0.27170885127950695,0.456864,False,4.901961958956548,0.30000000000000004
-9.333339,2000,7113.719747,False,False,True,False,True,False,0.2867576106429226,0.458786,False,5.007303274500458,0.30000000000000004
-11.920166,2000,7156.870736,False,False,True,False,True,False,0.34687551926210164,0.462786,False,5.428128634834712,0.35000000000000003
-2.213644,580,7169.344334,True,False,False,True,True,True,0.4657558471219123,0.466786,False,6.260290929853387,0.35000000000000003
-6.135154,2000,7213.696274,False,False,True,False,True,False,0.27030365593929034,0.467946,False,4.892125591575033,0.30000000000000004
-12.10078,2000,7257.858875,False,False,True,False,True,False,0.40992242327239103,0.471946,False,5.869456962906738,0.35000000000000003
-34.158977,2000,7301.573323,False,False,True,False,False,False,0.41534768763774277,0.475946,False,5.9074338134642,0.35000000000000003
0.247339,894,7320.665765,True,False,False,True,True,True,0.30434033592811877,0.479946,False,5.130382351496832,0.35000000000000003
-50.379268,1191,7346.713065,False,True,False,False,False,False,0.389948014902093,0.481734,False,5.729636104314651,0.35000000000000003
-35.544211,2000,7390.065852,False,False,True,False,False,False,0.4243761082190234,0.484116,False,5.970632757533164,0.35000000000000003
