#{"t_start": 1786681442.674876, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
4.849534,21,154.625455,True,True,True,False,False,0,0.02,False
4.845946,27,154.948324,True,True,True,False,False,0,0.02,False
4.901085,26,155.256835,True,True,True,False,False,0,0.02,False
4.70202,32,155.64969,True,True,True,False,False,0,0.02,False
4.811103,21,155.889608,True,True,True,False,False,0,0.02,False
4.85068,18,156.060707,True,True,True,False,False,0,0.02,False
4.550934,27,156.352726,True,True,True,False,False,0,0.02,False
4.286206,34,156.713852,True,True,True,False,False,0,0.02,False
4.563958,29,157.033621,True,True,True,False,False,0,0.02,False
4.647004,33,157.396333,True,True,True,False,False,0,0.02,False
4.61887,27,157.709528,True,True,True,False,False,0,0.02,False
4.63704,31,158.058178,True,True,True,False,False,0,0.02,False
4.485422,27,158.37542,True,True,True,False,False,0,0.02,False
4.495288,35,158.82746,True,True,True,False,False,0,0.02,False
4.717211,23,159.133426,True,True,True,False,False,0,0.02,False
4.716583,35,159.524579,True,True,True,False,False,0,0.02,False
4.445513,35,159.950624,True,True,True,False,False,0,0.02,False
4.615402,29,160.276373,True,True,True,False,False,0,0.025,False
4.471821,35,160.662141,True,True,True,False,False,0,0.025,False
4.339399,46,161.191917,True,True,True,False,False,0,0.025,False
4.75255,32,161.575751,True,True,True,False,False,0,0.025,False
4.416036,43,162.057879,True,True,True,False,False,0,0.025,False
4.511949,33,162.434449,True,True,True,False,False,0,0.025,False
4.120303,46,162.942901,True,True,True,False,False,0,0.025,False
4.406542,37,163.351917,True,True,True,False,False,0,0.025,False
4.600698,39,163.804168,True,True,True,False,False,0,0.025,False
4.486399,33,164.208104,True,True,True,False,False,0,0.025,False
4.527869,41,164.710901,True,True,True,False,False,0,0.025,False
4.661665,27,165.027199,True,True,True,False,False,0,0.025,False
4.414089,36,165.525196,True,True,True,False,False,0,0.025,False
4.50903,32,165.984669,True,True,True,False,False,0,0.025,False
4.711743,24,166.339304,True,True,True,False,False,0,0.025,False
4.591425,28,166.750695,True,True,True,False,False,0,0.025,False
4.780553,28,167.131647,True,True,True,False,False,0,0.025,False
4.690538,29,167.493939,True,True,True,False,False,0,0.025,False
4.398688,41,167.985008,True,True,True,False,False,0,0.025,False
4.388595,41,168.478341,True,True,True,False,False,0,0.025,False
4.051763,54,169.138416,True,True,True,False,False,0,0.030000000000000002,False
4.607593,38,169.541083,True,True,True,False,False,0,0.030000000000000002,False
4.627951,37,169.942963,True,True,True,False,False,0,0.030000000000000002,False
4.681004,25,170.297143,True,True,True,False,False,0,0.030000000000000002,False
-35.459611,814,179.340408,False,False,True,True,False,0,0.030000000000000002,False
4.779203,33,179.692954,True,True,True,False,False,0,0.030000000000000002,False
4.497709,39,180.154066,True,True,True,False,False,0,0.030000000000000002,False
4.378879,38,180.583274,True,True,True,False,False,0,0.030000000000000002,False
4.561623,36,180.979935,True,True,True,False,False,0,0.030000000000000002,False
4.128335,48,181.566166,True,True,True,False,False,0,0.030000000000000002,False
4.628283,24,181.818211,True,True,True,False,False,0,0.030000000000000002,False
4.31303,41,182.240925,True,True,True,False,False,0,0.030000000000000002,False
4.775525,28,182.525965,True,True,True,False,False,0,0.030000000000000002,False
4.409663,33,182.869021,True,True,True,False,False,0,0.030000000000000002,False
4.485037,37,183.243973,True,True,True,False,False,0,0.030000000000000002,False
3.977097,45,183.757556,True,True,True,False,False,0,0.030000000000000002,False
4.26018,42,184.217992,True,True,True,False,False,0,0.030000000000000002,False
4.242671,46,184.867919,True,True,True,False,False,0,0.030000000000000002,False
4.855913,24,185.143011,True,True,True,False,False,0,0.030000000000000002,False
4.70828,30,185.468086,True,True,True,False,False,0,0.030000000000000002,False
-30.324346,535,191.290735,False,False,True,False,False,0,0.035,False
4.53371,41,191.706243,True,True,True,False,False,0,0.035,False
4.632253,30,192.024005,True,True,True,False,False,0,0.035,False
4.513701,32,192.379213,True,True,True,False,False,0,0.035,False
4.710954,35,192.741888,True,True,True,False,False,0,0.035,False
4.703659,33,193.141057,True,True,True,False,False,0,0.035,False
4.812236,35,193.559513,True,True,True,False,False,0,0.035,False
4.714307,40,194.041089,True,True,True,False,False,0,0.035,False
4.647507,39,194.482875,True,True,True,False,False,0,0.035,False
4.588212,39,194.919679,True,True,True,False,False,0,0.035,False
4.624211,28,195.233477,True,True,True,False,False,0,0.035,False
4.67864,33,195.612539,True,True,True,False,False,0,0.035,False
4.560451,45,196.15227,True,True,True,False,False,0,0.035,False
4.806088,44,196.898961,True,True,True,False,False,0,0.035,False
4.766713,32,197.259511,True,True,True,False,False,0,0.035,False
4.550871,37,197.649076,True,True,True,False,False,0,0.035,False
4.710957,38,198.110868,True,True,True,False,False,0,0.035,False
4.263029,51,198.773658,True,True,True,False,False,0,0.035,False
4.239165,44,199.298846,True,True,True,False,False,0,0.035,False
4.251601,41,199.746875,True,True,True,False,False,0,0.035,False
4.475927,46,200.25404,True,True,True,False,False,0,0.04,False
-20.833475,188,202.277206,False,False,True,False,False,0,0.04,False
4.56898,26,202.542009,True,True,True,False,False,0,0.04,False
-20.09029,159,204.482712,False,False,True,False,False,0,0.04,False
-19.629441,157,206.219809,False,False,True,False,False,0,0.04,False
-19.928781,161,207.992578,False,False,True,False,False,0,0.04,False
-20.038604,166,209.815786,False,False,True,False,False,0,0.04,False
-21.030151,168,211.77964,False,False,True,False,False,0,0.04,False
-21.167856,150,213.458283,False,False,True,False,False,0,0.04,False
-21.434385,153,215.224149,False,False,True,False,False,0,0.04,False
-21.973089,159,217.013038,False,False,True,False,False,0,0.04,False
-21.775265,148,218.695149,False,False,True,False,False,0,0.04,False
-21.704873,169,220.547897,False,False,True,False,False,0,0.04,False
-25.109094,374,224.727812,False,False,True,False,False,0,0.04,False
4.745048,45,225.211225,True,True,True,False,False,0,0.04,False
4.625876,53,225.777623,True,True,True,False,False,0,0.04,False
4.917427,36,226.144732,True,True,True,False,False,0,0.04,False
4.770812,38,226.535441,True,True,True,False,False,0,0.04,False
4.564252,41,227.009099,True,True,True,False,False,0,0.04,False
4.810573,47,227.571187,True,True,True,False,False,0,0.04,False
4.696683,43,228.149897,True,True,True,False,False,0,0.035,False
4.753096,38,228.563305,True,True,True,False,False,0,0.035,False
4.602356,39,229.009439,True,True,True,False,False,0,0.035,False
4.699598,34,229.400693,True,True,True,False,False,0,0.035,False
4.79197,26,229.660397,True,True,True,False,False,0,0.035,False
4.605918,30,229.983677,True,True,True,False,False,0,0.035,False
4.701794,35,230.353628,True,True,True,False,False,0,0.035,False
4.667553,36,230.754984,True,True,True,False,False,0,0.035,False
4.32556,44,231.259334,True,True,True,False,False,0,0.035,False
4.755302,33,231.70956,True,True,True,False,False,0,0.035,False
4.566405,36,232.269326,True,True,True,False,False,0,0.035,False
4.850332,27,232.556805,True,True,True,False,False,0,0.035,False
4.536811,45,233.085421,True,True,True,False,False,0,0.035,False
4.740686,37,233.54849,True,True,True,False,False,0,0.035,False
4.595126,29,233.924073,True,True,True,False,False,0,0.035,False
4.373171,38,234.435448,True,True,True,False,False,0,0.035,False
4.622126,36,234.88553,True,True,True,False,False,0,0.035,False
4.499483,29,235.242954,True,True,True,False,False,0,0.035,False
-32.539913,476,240.903049,False,False,True,False,False,0,0.035,False
4.261027,53,241.607133,True,True,True,False,False,0,0.035,False
4.602455,47,242.264056,True,True,True,False,False,0,0.04,False
4.862069,31,242.668751,True,True,True,False,False,0,0.04,False
